"Time_min","Scaled_Temp"
0,10
2,9.650159158908744
4,9.053055039504827
6,8.767762296600177
8,8.54419744949879
10,8.663028975509786
12,8.195728857062159
14,7.815020135455557
16,7.933610553443426
18,7.796012286232545
20,7.530723340753541
22,7.51833466597082
24,7.209211812348762
26,7.190223986453538
28,6.943973012731574
30,6.833466358591155
32,6.6908412298434214
34,6.476587725518778
36,6.815877231230757
38,6.641979234322584
40,6.443683574863294
42,6.3111629329166465
44,6.409819372493011
46,6.0297220236061975
48,6.059222035324211
50,6.067829960641694
52,6.073695991858508
54,5.946951531341887
56,5.834003535605506
58,5.818624805503968
60,5.688703310370049
